date,open,high,low,close,volume
17-04-1970,0.3388,0.3391,0.3379,0.3385,950400
20-04-1970,0.3385,0.3391,0.3362,0.3379,1425600
21-04-1970,0.3379,0.3402,0.3356,0.3359,518400
22-04-1970,0.3356,0.3356,0.3333,0.3336,561600
23-04-1970,0.3336,0.3339,0.3229,0.3237,763200
24-04-1970,0.3237,0.324,0.322,0.3223,792000
27-04-1970,0.322,0.322,0.3183,0.3188,705600
28-04-1970,0.3188,0.3194,0.3171,0.3171,676800
29-04-1970,0.3171,0.3287,0.3113,0.3287,2534400
30-04-1970,0.3287,0.3356,0.3287,0.331,532800
01-05-1970,0.331,0.331,0.3287,0.3292,316800
04-05-1970,0.3252,0.3252,0.3188,0.3188,576000
05-05-1970,0.3177,0.3177,0.3154,0.3154,950400
06-05-1970,0.3154,0.3206,0.3154,0.3206,1166400
07-05-1970,0.3217,0.3264,0.3217,0.3252,1137600
08-05-1970,0.3252,0.3275,0.3183,0.3206,921600
11-05-1970,0.3162,0.3162,0.3125,0.3125,705600
12-05-1970,0.3125,0.3206,0.3119,0.3148,763200
13-05-1970,0.3136,0.3136,0.3119,0.3128,360000
14-05-1970,0.3128,0.313,0.3055,0.3096,1094400
15-05-1970,0.3125,0.324,0.3125,0.324,676800
18-05-1970,0.3368,0.3368,0.3281,0.3281,187200
19-05-1970,0.3281,0.3298,0.3107,0.3107,657600
20-05-1970,0.3107,0.3125,0.3064,0.3064,542400
21-05-1970,0.302,0.302,0.2891,0.2951,1881600
22-05-1970,0.2957,0.3009,0.2852,0.2939,777600
25-05-1970,0.2922,0.2922,0.2731,0.2731,1718400
26-05-1970,0.2731,0.2748,0.2591,0.26,1536000
27-05-1970,0.2678,0.28,0.2678,0.28,2001600
28-05-1970,0.28,0.287,0.2765,0.2852,3168000
29-05-1970,0.2852,0.3026,0.2818,0.3026,1872000
01-06-1970,0.3026,0.3131,0.3009,0.3131,1555200
02-06-1970,0.3131,0.3165,0.3044,0.3096,1190400
03-06-1970,0.3096,0.3227,0.3069,0.3227,1185600
04-06-1970,0.3227,0.3331,0.32,0.32,1948800
05-06-1970,0.32,0.32,0.3105,0.3122,796800
08-06-1970,0.3122,0.3156,0.3044,0.3148,523200
09-06-1970,0.3148,0.3156,0.3061,0.3131,652800
10-06-1970,0.3131,0.3192,0.3122,0.3122,744000
11-06-1970,0.3122,0.3192,0.3096,0.3183,628800
12-06-1970,0.3183,0.32,0.3148,0.3183,696000
15-06-1970,0.3183,0.3252,0.3165,0.3235,374400
16-06-1970,0.327,0.3531,0.327,0.3478,912000
17-06-1970,0.3478,0.3478,0.3357,0.3409,974400
18-06-1970,0.3409,0.3478,0.3374,0.3478,556800
19-06-1970,0.3478,0.3531,0.3409,0.3409,1238400
22-06-1970,0.3409,0.3461,0.327,0.3409,393600
23-06-1970,0.3374,0.3374,0.327,0.3287,715200
24-06-1970,0.3287,0.3287,0.32,0.3243,532800
25-06-1970,0.3243,0.3339,0.3235,0.3243,388800
26-06-1970,0.3243,0.3252,0.3148,0.32,484800
29-06-1970,0.32,0.3227,0.3139,0.32,283200
30-06-1970,0.32,0.3322,0.32,0.3243,417600
01-07-1970,0.3243,0.3252,0.32,0.3252,921600
02-07-1970,0.3252,0.3261,0.3209,0.3209,216000
06-07-1970,0.3218,0.3296,0.3218,0.3252,672000
07-07-1970,0.3252,0.3287,0.3131,0.3131,916800
08-07-1970,0.3131,0.3243,0.3122,0.3235,408000
09-07-1970,0.3252,0.3339,0.3252,0.327,427200
10-07-1970,0.327,0.3374,0.327,0.3348,336000
13-07-1970,0.3348,0.3418,0.3314,0.3314,403200
14-07-1970,0.3314,0.3339,0.3261,0.3304,552000
