date,open,high,low,close,volume
23-06-1980,0.2029,0.206,0.2029,0.2029,9888000
24-06-1980,0.2029,0.206,0.2029,0.2029,9676800
25-06-1980,0.2052,0.2083,0.2052,0.2052,15494400
26-06-1980,0.2052,0.2083,0.2052,0.2052,10156800
27-06-1980,0.206,0.2091,0.206,0.206,6912000
30-06-1980,0.206,0.2075,0.2044,0.2044,5337600
01-07-1980,0.2075,0.2106,0.2075,0.2075,9811200
02-07-1980,0.2091,0.2122,0.2091,0.2091,6585600
03-07-1980,0.2106,0.2137,0.2106,0.2106,4550400
07-07-1980,0.2184,0.22,0.2184,0.2184,19545600
08-07-1980,0.2231,0.2246,0.2231,0.2231,13190400
09-07-1980,0.2231,0.2238,0.2231,0.2231,9388800
10-07-1980,0.2262,0.227,0.2262,0.2262,14092800
11-07-1980,0.2262,0.227,0.2254,0.2254,9888000
14-07-1980,0.2277,0.2293,0.2277,0.2277,15052800
15-07-1980,0.2347,0.2355,0.2347,0.2347,20678400
16-07-1980,0.2386,0.2394,0.2386,0.2386,11692800
17-07-1980,0.2441,0.2456,0.2441,0.2441,15456000
18-07-1980,0.2503,0.251,0.2503,0.2503,12576000
21-07-1980,0.2503,0.251,0.2503,0.2503,14208000
22-07-1980,0.2487,0.2487,0.2472,0.2472,14150400
23-07-1980,0.2456,0.2456,0.2448,0.2448,8371200
24-07-1980,0.2441,0.2441,0.2433,0.2433,11616000
25-07-1980,0.2417,0.2417,0.2409,0.2409,22156800
28-07-1980,0.2433,0.2448,0.2433,0.2433,7372800
29-07-1980,0.2542,0.2557,0.2542,0.2542,11424000
30-07-1980,0.2619,0.2627,0.2619,0.2619,12614400
31-07-1980,0.2635,0.265,0.2635,0.2635,24384000
01-08-1980,0.2619,0.2619,0.2596,0.2596,9523200
04-08-1980,0.2635,0.2658,0.2635,0.2635,5721600
05-08-1980,0.265,0.2666,0.265,0.265,6720000
06-08-1980,0.265,0.265,0.2627,0.2627,11193600
07-08-1980,0.2658,0.2666,0.2658,0.2658,8812800
08-08-1980,0.2697,0.2713,0.2697,0.2697,5817600
11-08-1980,0.2868,0.2884,0.2868,0.2868,7276800
12-08-1980,0.2876,0.2907,0.2876,0.2876,22406400
13-08-1980,0.2837,0.2837,0.2821,0.2821,12153600
14-08-1980,0.2821,0.2829,0.2821,0.2821,8793600
15-08-1980,0.2798,0.2798,0.2783,0.2783,41011200
18-08-1980,0.2713,0.2713,0.2705,0.2705,7699200
19-08-1980,0.2674,0.2674,0.2666,0.2666,8889600
20-08-1980,0.272,0.2736,0.272,0.272,11808000
21-08-1980,0.2751,0.2759,0.2751,0.2751,11251200
22-08-1980,0.2767,0.2775,0.2767,0.2767,38515200
25-08-1980,0.2767,0.2775,0.2767,0.2767,11174400
26-08-1980,0.2767,0.2775,0.2767,0.2767,20160000
27-08-1980,0.2767,0.2767,0.2759,0.2759,3513600
28-08-1980,0.2744,0.2744,0.2736,0.2736,6451200
29-08-1980,0.2728,0.2728,0.272,0.272,15552000
02-09-1980,0.2759,0.2767,0.2759,0.2759,6816000
03-09-1980,0.2845,0.286,0.2845,0.2845,9292800
04-09-1980,0.2868,0.2884,0.2868,0.2868,16147200
05-09-1980,0.286,0.286,0.2852,0.2852,6259200
08-09-1980,0.279,0.279,0.2775,0.2775,4300800
09-09-1980,0.2783,0.279,0.2783,0.2783,13632000
10-09-1980,0.2767,0.2767,0.2751,0.2751,10099200
11-09-1980,0.2767,0.2775,0.2767,0.2767,5990400
12-09-1980,0.2767,0.2767,0.2759,0.2759,4800000
15-09-1980,0.2736,0.2736,0.2728,0.2728,5337600
16-09-1980,0.2806,0.2814,0.2806,0.2806,9139200
17-09-1980,0.293,0.2938,0.293,0.293,11577600
18-09-1980,0.2938,0.2946,0.2938,0.2938,14227200
19-09-1980,0.2961,0.2969,0.2961,0.2961,6086400
22-09-1980,0.293,0.293,0.2915,0.2915,8313600
23-09-1980,0.2814,0.2814,0.2806,0.2806,7142400
24-09-1980,0.279,0.279,0.2775,0.2775,10022400
25-09-1980,0.2751,0.2751,0.2744,0.2744,11520000
26-09-1980,0.272,0.272,0.2705,0.2705,9312000
29-09-1980,0.2713,0.272,0.2713,0.2713,3801600
30-09-1980,0.2767,0.2783,0.2767,0.2767,6086400
01-10-1980,0.2798,0.2806,0.2798,0.2798,5971200
02-10-1980,0.2798,0.2806,0.279,0.279,4281600
03-10-1980,0.2884,0.2891,0.2884,0.2884,5068800
06-10-1980,0.3062,0.3078,0.3062,0.3062,10060800
07-10-1980,0.307,0.3086,0.307,0.307,9158400
08-10-1980,0.3016,0.3016,0.3008,0.3008,25036800
09-10-1980,0.3008,0.3016,0.3,0.3,4348800
10-10-1980,0.2985,0.2985,0.2969,0.2969,6624000
13-10-1980,0.2985,0.3,0.2985,0.2985,3235200
14-10-1980,0.3,0.3031,0.3,0.3,6652800
15-10-1980,0.3062,0.3078,0.3062,0.3062,4416000
16-10-1980,0.3062,0.3078,0.3047,0.3047,5942400
17-10-1980,0.3047,0.3047,0.3016,0.3016,6988800
20-10-1980,0.3,0.3,0.2985,0.2985,6489600
21-10-1980,0.2969,0.2969,0.2953,0.2953,8908800
22-10-1980,0.2985,0.3,0.2985,0.2985,5136000
23-10-1980,0.2953,0.2953,0.2922,0.2922,3206400
24-10-1980,0.2876,0.2876,0.286,0.286,4204800
27-10-1980,0.272,0.272,0.2705,0.2705,5769600
28-10-1980,0.2783,0.2814,0.2783,0.2783,4473600
29-10-1980,0.2845,0.286,0.2845,0.2845,6844800
30-10-1980,0.258,0.258,0.2549,0.2549,54960000
31-10-1980,0.2612,0.2627,0.2612,0.2612,16579200
03-11-1980,0.2612,0.2627,0.2612,0.2612,18777600
05-11-1980,0.2798,0.2814,0.2798,0.2798,16108800
06-11-1980,0.2643,0.2643,0.2627,0.2627,20659200
07-11-1980,0.2674,0.2705,0.2674,0.2674,7334400
10-11-1980,0.2674,0.2689,0.2658,0.2658,8390400
11-11-1980,0.2705,0.272,0.2705,0.2705,8620800
12-11-1980,0.2798,0.2814,0.2798,0.2798,13440000
13-11-1980,0.286,0.2876,0.286,0.286,9753600
14-11-1980,0.2985,0.3016,0.2985,0.2985,12028800
17-11-1980,0.3,0.3016,0.3,0.3,8515200
18-11-1980,0.3078,0.3093,0.3078,0.3078,8467200
19-11-1980,0.3047,0.3047,0.3031,0.3031,10387200
20-11-1980,0.3016,0.3016,0.3,0.3,11251200
21-11-1980,0.2969,0.2969,0.2953,0.2953,10684800
24-11-1980,0.2938,0.2938,0.2907,0.2907,8688000
25-11-1980,0.2907,0.2922,0.2907,0.2907,5990400
26-11-1980,0.2922,0.2938,0.2922,0.2922,5654400
28-11-1980,0.2922,0.2922,0.2891,0.2891,5088000
01-12-1980,0.2705,0.2705,0.2674,0.2674,5328000
02-12-1980,0.2674,0.2705,0.2674,0.2674,12768000
03-12-1980,0.2705,0.2736,0.2705,0.2705,7478400
04-12-1980,0.2759,0.2783,0.2759,0.2759,9398400
05-12-1980,0.2596,0.2596,0.258,0.258,12278400
08-12-1980,0.2503,0.2503,0.2487,0.2487,13363200
09-12-1980,0.2596,0.2627,0.2596,0.2596,20572800
10-12-1980,0.258,0.258,0.2565,0.2565,17558400
11-12-1980,0.2518,0.2518,0.2487,0.2487,23481600
12-12-1980,0.2565,0.258,0.2565,0.2565,12460800
15-12-1980,0.2565,0.258,0.2565,0.2565,8544000
16-12-1980,0.258,0.2612,0.258,0.258,16425600
17-12-1980,0.2549,0.2549,0.2534,0.2534,15753600
18-12-1980,0.2534,0.2549,0.2518,0.2518,18508800
19-12-1980,0.2425,0.2425,0.2394,0.2394,31900800
22-12-1980,0.2394,0.2409,0.2394,0.2394,19526400
23-12-1980,0.2441,0.2456,0.2441,0.2441,17145600
24-12-1980,0.2487,0.2518,0.2487,0.2487,11808000
26-12-1980,0.2549,0.258,0.2549,0.2549,4300800
29-12-1980,0.2487,0.2487,0.2472,0.2472,15782400
30-12-1980,0.2503,0.2518,0.2503,0.2503,8131200
31-12-1980,0.2503,0.2534,0.2503,0.2503,6624000
02-01-1981,0.2503,0.2534,0.2503,0.2503,7795200
05-01-1981,0.2596,0.2627,0.2596,0.2596,9187200
06-01-1981,0.2549,0.2549,0.2534,0.2534,16099200
